"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Bolton","0901306260","2006-2010","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2006-2010","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2006-2010","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2006-2010","White Alone","Number","Median Household Income",89280.0
"Bolton","0901306260","2006-2010","White Alone","Number","Margins of Error",8635.0
"Bolton","0901306260","2006-2010","White Alone","Ratio to State Median","Median Household Income",1.22
"Bolton","0901306260","2006-2010","White Alone","Ratio to State Median","Margins of Error",0.12
"Bolton","0901306260","2006-2010","White Alone Not Hispanic or Latino","Number","Median Household Income",90451.0
"Bolton","0901306260","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",5996.0
"Bolton","0901306260","2006-2010","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.2
"Bolton","0901306260","2006-2010","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.08
"Bolton","0901306260","2007-2011","All","Number","Median Household Income",93348.0
"Bolton","0901306260","2007-2011","All","Number","Margins of Error",9270.0
"Bolton","0901306260","2007-2011","All","Ratio to State Median","Median Household Income",1.35
"Bolton","0901306260","2007-2011","All","Ratio to State Median","Margins of Error",0.13
"Bolton","0901306260","2007-2011","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Black or African American Alone","Number","Median Household Income",104875.0
"Bolton","0901306260","2007-2011","Black or African American Alone","Number","Margins of Error",75086.0
"Bolton","0901306260","2007-2011","Black or African American Alone","Ratio to State Median","Median Household Income",2.39
"Bolton","0901306260","2007-2011","Black or African American Alone","Ratio to State Median","Margins of Error",1.71
"Bolton","0901306260","2007-2011","Hispanic or Latino","Number","Median Household Income",39041.0
"Bolton","0901306260","2007-2011","Hispanic or Latino","Number","Margins of Error",22493.0
"Bolton","0901306260","2007-2011","Hispanic or Latino","Ratio to State Median","Median Household Income",0.97
"Bolton","0901306260","2007-2011","Hispanic or Latino","Ratio to State Median","Margins of Error",0.56
"Bolton","0901306260","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2007-2011","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2007-2011","White Alone","Number","Median Household Income",92589.0
"Bolton","0901306260","2007-2011","White Alone","Number","Margins of Error",9331.0
"Bolton","0901306260","2007-2011","White Alone","Ratio to State Median","Median Household Income",1.24
"Bolton","0901306260","2007-2011","White Alone","Ratio to State Median","Margins of Error",0.13
"Bolton","0901306260","2007-2011","White Alone Not Hispanic or Latino","Number","Median Household Income",94955.0
"Bolton","0901306260","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",8957.0
"Bolton","0901306260","2007-2011","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.23
"Bolton","0901306260","2007-2011","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.12
"Bolton","0901306260","2008-2012","All","Number","Median Household Income",87885.0
"Bolton","0901306260","2008-2012","All","Number","Margins of Error",13976.0
"Bolton","0901306260","2008-2012","All","Ratio to State Median","Median Household Income",1.26
"Bolton","0901306260","2008-2012","All","Ratio to State Median","Margins of Error",0.2
"Bolton","0901306260","2008-2012","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Black or African American Alone","Number","Median Household Income",107232.0
"Bolton","0901306260","2008-2012","Black or African American Alone","Number","Margins of Error",77802.0
"Bolton","0901306260","2008-2012","Black or African American Alone","Ratio to State Median","Median Household Income",2.51
"Bolton","0901306260","2008-2012","Black or African American Alone","Ratio to State Median","Margins of Error",1.82
"Bolton","0901306260","2008-2012","Hispanic or Latino","Number","Median Household Income",41789.0
"Bolton","0901306260","2008-2012","Hispanic or Latino","Number","Margins of Error",39644.0
"Bolton","0901306260","2008-2012","Hispanic or Latino","Ratio to State Median","Median Household Income",1.06
"Bolton","0901306260","2008-2012","Hispanic or Latino","Ratio to State Median","Margins of Error",1.0
"Bolton","0901306260","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2008-2012","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2008-2012","White Alone","Number","Median Household Income",86067.0
"Bolton","0901306260","2008-2012","White Alone","Number","Margins of Error",13161.0
"Bolton","0901306260","2008-2012","White Alone","Ratio to State Median","Median Household Income",1.15
"Bolton","0901306260","2008-2012","White Alone","Ratio to State Median","Margins of Error",0.18
"Bolton","0901306260","2008-2012","White Alone Not Hispanic or Latino","Number","Median Household Income",90000.0
"Bolton","0901306260","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",12614.0
"Bolton","0901306260","2008-2012","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.16
"Bolton","0901306260","2008-2012","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.16
"Bolton","0901306260","2009-2013","All","Number","Median Household Income",86890.0
"Bolton","0901306260","2009-2013","All","Number","Margins of Error",9436.0
"Bolton","0901306260","2009-2013","All","Ratio to State Median","Median Household Income",1.25
"Bolton","0901306260","2009-2013","All","Ratio to State Median","Margins of Error",0.14
"Bolton","0901306260","2009-2013","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Black or African American Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Black or African American Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Hispanic or Latino","Number","Median Household Income",41645.0
"Bolton","0901306260","2009-2013","Hispanic or Latino","Number","Margins of Error",16033.0
"Bolton","0901306260","2009-2013","Hispanic or Latino","Ratio to State Median","Median Household Income",1.04
"Bolton","0901306260","2009-2013","Hispanic or Latino","Ratio to State Median","Margins of Error",0.4
"Bolton","0901306260","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Some Other Race Alone","Number","Median Household Income",42407.0
"Bolton","0901306260","2009-2013","Some Other Race Alone","Number","Margins of Error",75479.0
"Bolton","0901306260","2009-2013","Some Other Race Alone","Ratio to State Median","Median Household Income",1.21
"Bolton","0901306260","2009-2013","Some Other Race Alone","Ratio to State Median","Margins of Error",2.16
"Bolton","0901306260","2009-2013","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2009-2013","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2009-2013","White Alone","Number","Median Household Income",86476.0
"Bolton","0901306260","2009-2013","White Alone","Number","Margins of Error",8557.0
"Bolton","0901306260","2009-2013","White Alone","Ratio to State Median","Median Household Income",1.15
"Bolton","0901306260","2009-2013","White Alone","Ratio to State Median","Margins of Error",0.11
"Bolton","0901306260","2009-2013","White Alone Not Hispanic or Latino","Number","Median Household Income",87500.0
"Bolton","0901306260","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",12976.0
"Bolton","0901306260","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.12
"Bolton","0901306260","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.17
"Bolton","0901306260","2010-2014","All","Number","Median Household Income",88625.0
"Bolton","0901306260","2010-2014","All","Number","Margins of Error",10030.0
"Bolton","0901306260","2010-2014","All","Ratio to State Median","Median Household Income",1.27
"Bolton","0901306260","2010-2014","All","Ratio to State Median","Margins of Error",0.14
"Bolton","0901306260","2010-2014","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Black or African American Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Black or African American Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Hispanic or Latino","Number","Median Household Income",41801.0
"Bolton","0901306260","2010-2014","Hispanic or Latino","Number","Margins of Error",28274.0
"Bolton","0901306260","2010-2014","Hispanic or Latino","Ratio to State Median","Median Household Income",1.06
"Bolton","0901306260","2010-2014","Hispanic or Latino","Ratio to State Median","Margins of Error",0.72
"Bolton","0901306260","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2010-2014","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2010-2014","White Alone","Number","Median Household Income",87975.0
"Bolton","0901306260","2010-2014","White Alone","Number","Margins of Error",8287.0
"Bolton","0901306260","2010-2014","White Alone","Ratio to State Median","Median Household Income",1.16
"Bolton","0901306260","2010-2014","White Alone","Ratio to State Median","Margins of Error",0.11
"Bolton","0901306260","2010-2014","White Alone Not Hispanic or Latino","Number","Median Household Income",89000.0
"Bolton","0901306260","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",12018.0
"Bolton","0901306260","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.13
"Bolton","0901306260","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.15
"Bolton","0901306260","2011-2015","All","Number","Median Household Income",97019.0
"Bolton","0901306260","2011-2015","All","Number","Margins of Error",16060.0
"Bolton","0901306260","2011-2015","All","Ratio to State Median","Median Household Income",1.38
"Bolton","0901306260","2011-2015","All","Ratio to State Median","Margins of Error",0.23
"Bolton","0901306260","2011-2015","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Black or African American Alone","Number","Median Household Income",74500.0
"Bolton","0901306260","2011-2015","Black or African American Alone","Number","Margins of Error",57087.0
"Bolton","0901306260","2011-2015","Black or African American Alone","Ratio to State Median","Median Household Income",1.74
"Bolton","0901306260","2011-2015","Black or African American Alone","Ratio to State Median","Margins of Error",1.33
"Bolton","0901306260","2011-2015","Hispanic or Latino","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Hispanic or Latino","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2011-2015","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2011-2015","White Alone","Number","Median Household Income",97963.0
"Bolton","0901306260","2011-2015","White Alone","Number","Margins of Error",14646.0
"Bolton","0901306260","2011-2015","White Alone","Ratio to State Median","Median Household Income",1.28
"Bolton","0901306260","2011-2015","White Alone","Ratio to State Median","Margins of Error",0.19
"Bolton","0901306260","2011-2015","White Alone Not Hispanic or Latino","Number","Median Household Income",98241.0
"Bolton","0901306260","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",14459.0
"Bolton","0901306260","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.23
"Bolton","0901306260","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.18
"Bolton","0901306260","2012-2016","All","Number","Median Household Income",91087.0
"Bolton","0901306260","2012-2016","All","Number","Margins of Error",11191.0
"Bolton","0901306260","2012-2016","All","Ratio to State Median","Median Household Income",1.27
"Bolton","0901306260","2012-2016","All","Ratio to State Median","Margins of Error",0.16
"Bolton","0901306260","2012-2016","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Black or African American Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Black or African American Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Hispanic or Latino","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Hispanic or Latino","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2012-2016","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2012-2016","White Alone","Number","Median Household Income",94821.0
"Bolton","0901306260","2012-2016","White Alone","Number","Margins of Error",13316.0
"Bolton","0901306260","2012-2016","White Alone","Ratio to State Median","Median Household Income",1.22
"Bolton","0901306260","2012-2016","White Alone","Ratio to State Median","Margins of Error",0.17
"Bolton","0901306260","2012-2016","White Alone Not Hispanic or Latino","Number","Median Household Income",95385.0
"Bolton","0901306260","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",13467.0
"Bolton","0901306260","2012-2016","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.17
"Bolton","0901306260","2012-2016","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.17
"Bolton","0901306260","2013-2017","All","Number","Median Household Income",101667.0
"Bolton","0901306260","2013-2017","All","Number","Margins of Error",8934.0
"Bolton","0901306260","2013-2017","All","Ratio to State Median","Median Household Income",1.38
"Bolton","0901306260","2013-2017","All","Ratio to State Median","Margins of Error",0.12
"Bolton","0901306260","2013-2017","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Asian Alone","Number","Median Household Income",250001.0
"Bolton","0901306260","2013-2017","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Asian Alone","Ratio to State Median","Median Household Income",2.73
"Bolton","0901306260","2013-2017","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Black or African American Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Black or African American Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Hispanic or Latino","Number","Median Household Income",66250.0
"Bolton","0901306260","2013-2017","Hispanic or Latino","Number","Margins of Error",47887.0
"Bolton","0901306260","2013-2017","Hispanic or Latino","Ratio to State Median","Median Household Income",1.5
"Bolton","0901306260","2013-2017","Hispanic or Latino","Ratio to State Median","Margins of Error",1.09
"Bolton","0901306260","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Some Other Race Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Some Other Race Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Two or More Races","Number","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Two or More Races","Number","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2013-2017","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2013-2017","White Alone","Number","Median Household Income",102674.0
"Bolton","0901306260","2013-2017","White Alone","Number","Margins of Error",9353.0
"Bolton","0901306260","2013-2017","White Alone","Ratio to State Median","Median Household Income",1.28
"Bolton","0901306260","2013-2017","White Alone","Ratio to State Median","Margins of Error",0.12
"Bolton","0901306260","2013-2017","White Alone Not Hispanic or Latino","Number","Median Household Income",102762.0
"Bolton","0901306260","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",9232.0
"Bolton","0901306260","2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.23
"Bolton","0901306260","2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.11
"Bolton","0901306260","2014-2018","All","Number","Median Household Income",105417.0
"Bolton","0901306260","2014-2018","All","Number","Margins of Error",4713.0
"Bolton","0901306260","2014-2018","All","Ratio to State Median","Median Household Income",1.39
"Bolton","0901306260","2014-2018","All","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2014-2018","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","Asian Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","Asian Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","Black or African American Alone","Number","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","Black or African American Alone","Number","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Bolton","0901306260","2014-2018","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Bolton","0901306260","2014-2018","Hispanic or Latino","Number","Median Household Income",-9999.0
